id,pt_BR,en,es
"GAME_MEMORY","Jogo da Memória","Memory Game","Juego de Memoria"
"GAME_KLONDIKE","Paciência (Klondike)","Solitaire (Klondike)","Solitario (Klondike)"
"GAME_SPIDER","Paciência Spider","Spider Solitaire","Solitario Spider"
"GAME_BLACKJACK","21 (Blackjack)","Blackjack (21)","Blackjack (21)"
"GAME_UNOLIKE","Jogo de Cores & Cartas","Colors & Cards","Colores y Cartas"
"GAME_POKER","Poker Dice / Cartas","Video Poker","Video Póker"
"GAME_HANOI","Torres de Hanói","Tower of Hanoi","Torres de Hanói"
"GAME_NIM","Jogo de Nim","Nim","Juego de Nim"
"GAME_GAMAO","Gamão","Backgammon","Backgammon"
DIFF_LABEL,"Dificuldade %d/%d — %s","Difficulty %d/%d — %s","Dificultad %d/%d — %s"
DIFF_UP,"Dificuldade subiu para %d/%d","Difficulty moved up to %d/%d","La dificultad subió a %d/%d"
DIFF_DOWN,"Dificuldade caiu para %d/%d","Difficulty dropped to %d/%d","La dificultad bajó a %d/%d"
DIFF_TIER_INICIANTE,"Iniciante","Beginner","Principiante"
DIFF_TIER_CASUAL,"Casual","Casual","Casual"
DIFF_TIER_DESAFIO,"Desafio","Challenging","Desafío"
DIFF_TIER_DIFICIL,"Difícil","Hard","Difícil"
DIFF_TIER_MESTRE,"Mestre","Master","Maestro"
DIFF_AI_OPENS,"A IA abre a partida","The AI opens the game","La IA abre la partida"
TOAST_XP,"+%d XP","+%d XP","+%d XP"
TOAST_LEVEL_PROGRESS,"Nível %d — %d/%d XP","Level %d — %d/%d XP","Nivel %d — %d/%d XP"
TOAST_LEVEL_UP,"Nível %d!","Level %d!","¡Nivel %d!"
TOAST_LEVEL_UP_DESC,"Você subiu de nível.","You leveled up.","Has subido de nivel."
TOAST_ACHIEVEMENT,"Conquista desbloqueada!","Achievement unlocked!","¡Logro desbloqueado!"
TOAST_STREAK,"%d dias seguidos!","%d day streak!","¡%d días seguidos!"
TOAST_STREAK_DESC,"Volte amanhã para manter a sequência.","Come back tomorrow to keep it going.","Vuelve mañana para mantener la racha."
ACH_FIRST_BLOOD_NAME,"Primeira vitória","First Win","Primera victoria"
ACH_VETERAN_NAME,"Veterano — 10 partidas","Veteran — 10 matches","Veterano — 10 partidas"
ACH_MASTER_NAME,"Mestre — 50 vitórias","Master — 50 wins","Maestro — 50 victorias"
ACH_LEVEL_10_NAME,"Nível 10","Level 10","Nivel 10"
ACH_ITEM_COLLECTOR_NAME,"Colecionador","Collector","Coleccionista"
ACH_COMEBACK_NAME,"De volta ao jogo","Welcome Back","De vuelta al juego"
"ACH_FIRST_BLOOD_DESC","Vença sua primeira partida","Win your first match","Gana tu primera partida"
"ACH_WIN_10_NAME","Aspirante","Contender","Aspirante"
"ACH_WIN_10_DESC","Vença 10 partidas","Win 10 matches","Gana 10 partidas"
"ACH_WIN_50_NAME","Veterano","Veteran","Veterano"
"ACH_WIN_50_DESC","Vença 50 partidas","Win 50 matches","Gana 50 partidas"
"ACH_WIN_100_NAME","Lenda da Mesa","Table Legend","Leyenda de la Mesa"
"ACH_WIN_100_DESC","Vença 100 partidas","Win 100 matches","Gana 100 partidas"
"ACH_VETERAN_DESC","Jogue 25 partidas","Play 25 matches","Juega 25 partidas"
"ACH_LEVEL_5_NAME","Aprendiz Dedicado","Dedicated Apprentice","Aprendiz Dedicado"
"ACH_LEVEL_5_DESC","Chegue ao nível 5","Reach level 5","Llega al nivel 5"
"ACH_LEVEL_10_DESC","Chegue ao nível 10","Reach level 10","Llega al nivel 10"
"ACH_LEVEL_25_NAME","Grão-Mestre","Grandmaster","Gran Maestro"
"ACH_LEVEL_25_DESC","Chegue ao nível 25","Reach level 25","Llega al nivel 25"
"ACH_EXPLORER_1_NAME","Curioso","Curious","Curioso"
"ACH_EXPLORER_1_DESC","Jogue 3 jogos diferentes","Play 3 different games","Juega 3 juegos distintos"
"ACH_EXPLORER_5_NAME","Andarilho","Wanderer","Andariego"
"ACH_EXPLORER_5_DESC","Jogue 8 jogos diferentes","Play 8 different games","Juega 8 juegos distintos"
"ACH_EXPLORER_ALL_NAME","Mestre da Mesa","Master of the Table","Maestro de la Mesa"
"ACH_EXPLORER_ALL_DESC","Jogue todos os 19 jogos","Play all 19 games","Juega los 19 juegos"
"ACH_STREAK_3_NAME","Fim de Semana","Weekend Run","Fin de Semana"
"ACH_STREAK_3_DESC","Jogue 3 dias seguidos","Play 3 days in a row","Juega 3 días seguidos"
"ACH_STREAK_7_NAME","Semana Inteira","Full Week","Semana Completa"
"ACH_STREAK_7_DESC","Jogue 7 dias seguidos","Play 7 days in a row","Juega 7 días seguidos"
"ACH_STREAK_30_NAME","Hábito Formado","Habit Formed","Hábito Formado"
"ACH_STREAK_30_DESC","Jogue 30 dias seguidos","Play 30 days in a row","Juega 30 días seguidos"
"ACH_COMEBACK_DESC","Volte depois de 14 dias longe","Come back after 14 days away","Vuelve tras 14 días de ausencia"
"ACH_QUESTS_10_NAME","Cumpridor","Taskmaster","Cumplidor"
"ACH_QUESTS_10_DESC","Conclua 10 missões","Complete 10 quests","Completa 10 misiones"
"ACH_MARATHON_NAME","Maratona","Marathon","Maratón"
"ACH_MARATHON_DESC","Jogue 10 partidas em um só dia","Play 10 matches in one day","Juega 10 partidas en un día"
"ACH_PERFECT_WIN_NAME","Vitória Impecável","Flawless Victory","Victoria Impecable"
"ACH_PERFECT_WIN_DESC","Vença uma partida sem errar","Win a match without a mistake","Gana una partida sin fallar"
"ACH_FAST_WIN_NAME","Relâmpago","Lightning","Relámpago"
"ACH_FAST_WIN_DESC","Vença em menos de 2 minutos","Win in under 2 minutes","Gana en menos de 2 minutos"
"ACH_TIE_BREAKER_NAME","Por um Triz","By a Hair","Por los Pelos"
"ACH_TIE_BREAKER_DESC","Vença uma partida decidida na última jogada","Win a match decided on the last move","Gana una partida decidida en la última jugada"
"ACH_LOSER_5_NAME","Persistente","Persistent","Persistente"
"ACH_LOSER_5_DESC","Perca 5 partidas seguidas e continue","Lose 5 in a row and keep going","Pierde 5 seguidas y sigue jugando"
"ACH_NIGHT_OWL_NAME","Coruja","Night Owl","Búho"
"ACH_NIGHT_OWL_DESC","Vença depois da meia-noite","Win after midnight","Gana después de medianoche"
"ACH_EARLY_BIRD_NAME","Madrugador","Early Bird","Madrugador"
"ACH_EARLY_BIRD_DESC","Vença antes das 6 da manhã","Win before 6 AM","Gana antes de las 6 de la mañana"
"ACH_MULTIPLAYER_1_NAME","Modo Sofá","Couch Mode","Modo Sofá"
"ACH_MULTIPLAYER_1_DESC","Jogue uma partida com outra pessoa no mesmo aparelho","Play a match with someone on the same device","Juega una partida con alguien en el mismo dispositivo"
"ACH_TICTACTOE_WIN_NAME","Três em Linha","Three in a Row","Tres en Raya"
"ACH_TICTACTOE_WIN_DESC","Vença no Jogo da Velha","Win at Tic-Tac-Toe","Gana al Tres en Raya"
"ACH_CHECKERS_WIN_NAME","Coroação","Crowned","Coronación"
"ACH_CHECKERS_WIN_DESC","Vença nas Damas","Win at Checkers","Gana a las Damas"
"ACH_CONNECT4_WIN_NAME","Conectado","Connected","Conectado"
"ACH_CONNECT4_WIN_DESC","Vença no Quatro em Linha","Win at Connect Four","Gana al Cuatro en Línea"
"ACH_DOMINO_WIN_NAME","Batida Perfeita","Perfect Domino","Dominó Perfecto"
"ACH_DOMINO_WIN_DESC","Vença no Dominó","Win at Dominoes","Gana al Dominó"
"ACH_HANOI_WIN_NAME","Torre Erguida","Tower Raised","Torre Levantada"
"ACH_HANOI_WIN_DESC","Complete uma Torre de Hanói","Complete a Tower of Hanoi","Completa una Torre de Hanói"
"ACH_BATTLESHIP_WIN_NAME","Almirante","Admiral","Almirante"
"ACH_BATTLESHIP_WIN_DESC","Vença na Batalha Naval","Win at Battleship","Gana a la Batalla Naval"
"ACH_LUDO_WIN_NAME","Chegada Triunfal","Triumphant Arrival","Llegada Triunfal"
"ACH_LUDO_WIN_DESC","Vença no Ludo","Win at Ludo","Gana al Parchís"
"ACH_MANCALA_WIN_NAME","Semeador","Sower","Sembrador"
"ACH_MANCALA_WIN_DESC","Vença no Mancala","Win at Mancala","Gana al Mancala"
"ACH_NIM_WIN_NAME","Contador de Palitos","Stick Counter","Contador de Palillos"
"ACH_NIM_WIN_DESC","Vença no Nim","Win at Nim","Gana al Nim"
"ACH_PEG_WIN_NAME","Resta Um","Last One Standing","Queda Uno"
"ACH_PEG_WIN_DESC","Termine o Resta Um com uma só esfera","Finish Peg Solitaire with a single peg","Termina el Solitario con una sola pieza"
"ACH_REVERSI_WIN_NAME","Estrategista","Strategist","Estratega"
"ACH_REVERSI_WIN_DESC","Vença no Reversi","Win at Reversi","Gana al Reversi"
"ACH_MINESWEEPER_WIN_NAME","Campo Limpo","Field Cleared","Campo Limpio"
"ACH_MINESWEEPER_WIN_DESC","Desarme um Campo Minado","Clear a Minesweeper field","Despeja un Buscaminas"
"ACH_SENET_WIN_NAME","Faraó","Pharaoh","Faraón"
"ACH_SENET_WIN_DESC","Vença no Senet","Win at Senet","Gana al Senet"
"ACH_BACKGAMMON_WIN_NAME","Duplo Seis","Double Six","Doble Seis"
"ACH_BACKGAMMON_WIN_DESC","Vença no Gamão","Win at Backgammon","Gana al Backgammon"
"ACH_MEMORY_WIN_NAME","Memória Fotográfica","Photographic Memory","Memoria Fotográfica"
"ACH_MEMORY_WIN_DESC","Complete o Jogo da Memória","Complete the Memory game","Completa el Juego de Memoria"
"ACH_SOLITAIRE_WIN_NAME","Paciência Recompensada","Patience Rewarded","Paciencia Recompensada"
"ACH_SOLITAIRE_WIN_DESC","Vença uma Paciência","Win a game of Solitaire","Gana un Solitario"
"ACH_UNO_WIN_NAME","Última Carta","Last Card","Última Carta"
"ACH_UNO_WIN_DESC","Vença no jogo de cores e cartas","Win the colors and cards game","Gana al juego de colores y cartas"
"ACH_BLACKJACK_WIN_NAME","Vinte e Um","Twenty-One","Veintiuno"
"ACH_BLACKJACK_WIN_DESC","Vença uma mão de Blackjack","Win a hand of Blackjack","Gana una mano de Blackjack"
"ACH_POKER_WIN_NAME","High Roller","High Roller","Gran Apostador"
"ACH_POKER_WIN_DESC","Vença uma mão premiada no Poker","Win a paying hand at Poker","Gana una mano premiada al Póker"
"ACH_POKER_ROYAL_NAME","Royal Flush","Royal Flush","Escalera Real"
"ACH_POKER_ROYAL_DESC","Feche um Royal Flush","Land a Royal Flush","Consigue una Escalera Real"
"ACH_ITEMS_100_NAME","Colecionador Amador","Amateur Collector","Coleccionista Aficionado"
"ACH_ITEMS_100_DESC","Colete 100 peças","Collect 100 pieces","Recoge 100 piezas"
"ACH_ITEMS_1000_NAME","Colecionador Obcecado","Obsessed Collector","Coleccionista Obsesivo"
"ACH_ITEMS_1000_DESC","Colete 1000 peças","Collect 1000 pieces","Recoge 1000 piezas"
"ACH_COLLECTOR_10_NAME","Vitrine Cheia","Full Display","Vitrina Llena"
"ACH_COLLECTOR_10_DESC","Desbloqueie 10 itens da coleção","Unlock 10 collection items","Desbloquea 10 objetos de la colección"
"ACH_CUSTOM_BOARD_NAME","Tabuleiro Seu","Make It Yours","Tu Tablero"
"ACH_CUSTOM_BOARD_DESC","Troque o acabamento da mesa","Change the table finish","Cambia el acabado de la mesa"
"ACH_MASTERY_5_NAME","Especialista","Specialist","Especialista"
"ACH_MASTERY_5_DESC","Chegue à maestria 5 em qualquer jogo","Reach mastery 5 in any game","Alcanza maestría 5 en cualquier juego"
"ACH_HANOI_PERFECT_3_NAME","Mínimo Exato","Exact Minimum","Mínimo Exacto"
"ACH_HANOI_PERFECT_3_DESC","Resolva a Torre de 3 discos no número ótimo de jogadas","Solve the 3-disc Tower in the optimal number of moves","Resuelve la Torre de 3 discos en el número óptimo de movimientos"
"ACH_HANOI_5_NAME","Cinco Andares","Five Floors","Cinco Pisos"
"ACH_HANOI_5_DESC","Resolva a Torre com 5 discos","Solve the Tower with 5 discs","Resuelve la Torre con 5 discos"
"ACH_HANOI_MASTER_NAME","Arquiteto de Brahma","Brahma's Architect","Arquitecto de Brahma"
"ACH_HANOI_MASTER_DESC","Resolva a Torre com 7 discos","Solve the Tower with 7 discs","Resuelve la Torre con 7 discos"
"ACH_NIM_MISERE_NAME","Misère","Misère","Misère"
"ACH_NIM_MISERE_DESC","Vença um Nim misère no difícil","Win a misère Nim on hard","Gana un Nim misère en difícil"
"ACH_NIM_PYRAMID_NAME","Pirâmide Desfeita","Pyramid Undone","Pirámide Deshecha"
"ACH_NIM_PYRAMID_DESC","Vença o Nim no formato pirâmide","Win Nim in pyramid layout","Gana al Nim en formato pirámide"
"ACH_100_PERCENT_NAME","Platina","Platinum","Platino"
"ACH_100_PERCENT_DESC","Desbloqueie todas as outras conquistas","Unlock every other achievement","Desbloquea todos los demás logros"
"QUEST_D_PLAY_3","Jogue 3 partidas","Play 3 matches","Juega 3 partidas"
"QUEST_D_PLAY_5","Jogue 5 partidas","Play 5 matches","Juega 5 partidas"
"QUEST_D_WIN_1","Vença 1 partida","Win 1 match","Gana 1 partida"
"QUEST_D_WIN_3","Vença 3 partidas","Win 3 matches","Gana 3 partidas"
"QUEST_D_DISTINCT_2","Jogue 2 jogos diferentes","Play 2 different games","Juega 2 juegos distintos"
"QUEST_D_DISTINCT_3","Jogue 3 jogos diferentes","Play 3 different games","Juega 3 juegos distintos"
"QUEST_D_BOARD_2","Vença 2 jogos de tabuleiro","Win 2 board games","Gana 2 juegos de tablero"
"QUEST_D_CARDS_2","Vença 2 jogos de cartas","Win 2 card games","Gana 2 juegos de cartas"
"QUEST_D_FAST_1","Vença em menos de 2 minutos","Win in under 2 minutes","Gana en menos de 2 minutos"
"QUEST_D_PERFECT_1","Vença uma partida impecável","Win a flawless match","Gana una partida impecable"
"QUEST_D_MASTERY_100","Suba 1 nível de maestria","Gain 1 mastery level","Sube 1 nivel de maestría"
"QUEST_W_PLAY_20","Jogue 20 partidas na semana","Play 20 matches this week","Juega 20 partidas esta semana"
"QUEST_W_WIN_10","Vença 10 partidas na semana","Win 10 matches this week","Gana 10 partidas esta semana"
"QUEST_W_DISTINCT_6","Jogue 6 jogos diferentes na semana","Play 6 different games this week","Juega 6 juegos distintos esta semana"
"QUEST_W_WIN_ALL_CAT","Vença 5 jogos de tabuleiro","Win 5 board games","Gana 5 juegos de tablero"
"QUEST_W_MASTERY_800","Suba 2 níveis de maestria","Gain 2 mastery levels","Sube 2 niveles de maestría"
"QUEST_W_PERFECT_3","Vença 3 partidas impecáveis","Win 3 flawless matches","Gana 3 partidas impecables"
"LEAGUE_BRONZE","Bronze","Bronze","Bronce"
"LEAGUE_SILVER","Prata","Silver","Plata"
"LEAGUE_GOLD","Ouro","Gold","Oro"
"LEAGUE_PLATINUM","Platina","Platinum","Platino"
"LEAGUE_DIAMOND","Diamante","Diamond","Diamante"
"LEAGUE_MASTER","Mestre","Master","Maestro"
"LEAGUE_LEGEND","Lenda","Legend","Leyenda"
"ITEM_FELT_GREEN","Feltro Verde","Green Felt","Fieltro Verde"
"ITEM_FELT_BURGUNDY","Feltro Bordô","Burgundy Felt","Fieltro Burdeos"
"ITEM_FELT_NAVY","Feltro Marinho","Navy Felt","Fieltro Marino"
"ITEM_FELT_SLATE","Feltro Ardósia","Slate Felt","Fieltro Pizarra"
"ITEM_FELT_AMBER","Feltro Âmbar","Amber Felt","Fieltro Ámbar"
"ITEM_WOOD_OAK","Carvalho","Oak","Roble"
"ITEM_WOOD_WALNUT","Nogueira","Walnut","Nogal"
"ITEM_MARBLE_WHITE","Mármore Branco","White Marble","Mármol Blanco"
"ITEM_MARBLE_BLACK","Mármore Negro","Black Marble","Mármol Negro"
"ITEM_BACK_CLASSIC","Verso Clássico","Classic Back","Dorso Clásico"
"ITEM_BACK_ORNATE","Verso Ornamentado","Ornate Back","Dorso Ornamentado"
"ITEM_BACK_GEOMETRY","Verso Geométrico","Geometric Back","Dorso Geométrico"
"ITEM_BACK_GILDED","Verso Dourado","Gilded Back","Dorso Dorado"
"ITEM_FRAME_BRONZE","Moldura de Bronze","Bronze Frame","Marco de Bronce"
"ITEM_FRAME_SILVER","Moldura de Prata","Silver Frame","Marco de Plata"
"ITEM_FRAME_GOLD","Moldura de Ouro","Gold Frame","Marco de Oro"
"ITEM_FRAME_LEGEND","Moldura de Lenda","Legend Frame","Marco de Leyenda"
"ITEM_FRAME_STREAK","Moldura em Chamas","Blazing Frame","Marco en Llamas"
"ITEM_FRAME_PLATINA","Moldura de Platina","Platinum Frame","Marco de Platino"
"MENU_PROFILE","Meu Perfil","My Profile","Mi Perfil"
"PROFILE_TITLE","Perfil","Profile","Perfil"
"PROFILE_LEVEL","Nível %d","Level %d","Nivel %d"
"PROFILE_XP","%d / %d XP","%d / %d XP","%d / %d XP"
"PROFILE_STREAK","%d dias seguidos","%d day streak","%d días seguidos"
"PROFILE_STREAK_NONE","Jogue hoje para começar uma sequência","Play today to start a streak","Juega hoy para iniciar una racha"
"PROFILE_FREEZES","%d congelamento(s) de sequência","%d streak freeze(s)","%d congelación(es) de racha"
"PROFILE_TAB_OVERVIEW","Resumo","Overview","Resumen"
"PROFILE_TAB_QUESTS","Missões","Quests","Misiones"
"PROFILE_TAB_ACHIEVEMENTS","Conquistas","Achievements","Logros"
"PROFILE_TAB_MASTERY","Maestria","Mastery","Maestría"
"PROFILE_TAB_COLLECTION","Coleção","Collection","Colección"
"PROFILE_MATCHES","Partidas","Matches","Partidas"
"PROFILE_WINS","Vitórias","Wins","Victorias"
"PROFILE_WINRATE","Aproveitamento","Win rate","Efectividad"
"PROFILE_GAMES_TRIED","Jogos experimentados","Games tried","Juegos probados"
"PROFILE_LONGEST_STREAK","Maior sequência","Longest streak","Racha más larga"
"PROFILE_LEAGUE","Liga","League","Liga"
"PROFILE_ELO","%d pontos","%d points","%d puntos"
"PROFILE_NEXT_LEAGUE","Faltam %d pontos para %s","%d points to %s","Faltan %d puntos para %s"
"PROFILE_TOP_LEAGUE","Você está no topo","You are at the top","Estás en la cima"
"PROFILE_DAILY","Diárias","Daily","Diarias"
"PROFILE_WEEKLY","Semanais","Weekly","Semanales"
"PROFILE_NO_QUESTS","Nenhuma missão ativa","No active quests","Sin misiones activas"
"PROFILE_QUEST_DONE","Concluída","Done","Completada"
"PROFILE_ACH_COUNT","%d de %d conquistas","%d of %d achievements","%d de %d logros"
"PROFILE_ACH_HIDDEN","Conquista secreta","Secret achievement","Logro secreto"
"PROFILE_ACH_HIDDEN_DESC","Continue jogando para descobrir","Keep playing to find out","Sigue jugando para descubrirlo"
"PROFILE_MASTERY_LEVEL","Maestria %d","Mastery %d","Maestría %d"
"PROFILE_NO_MASTERY","Jogue uma partida para começar uma trilha de maestria","Play a match to start a mastery track","Juega una partida para iniciar una vía de maestría"
"PROFILE_BEST_TIME","Melhor tempo: %s","Best time: %s","Mejor tiempo: %s"
"PROFILE_COLLECTION_COUNT","%d de %d itens","%d of %d items","%d de %d objetos"
"PROFILE_EQUIP","Usar","Use","Usar"
"PROFILE_EQUIPPED","Em uso","In use","En uso"
"PROFILE_LOCKED","Bloqueado","Locked","Bloqueado"
"UNLOCK_LEVEL","Nível %d","Level %d","Nivel %d"
"UNLOCK_LEAGUE","Liga %s","%s league","Liga %s"
"UNLOCK_MASTERY","Maestria %d","Mastery %d","Maestría %d"
"UNLOCK_STREAK","%d dias seguidos","%d day streak","%d días seguidos"
"UNLOCK_ACHIEVEMENT","Conquista %s","%s achievement","Logro %s"
"UNLOCK_DEFAULT","Disponível desde o início","Available from the start","Disponible desde el inicio"
"CAT_PROGRESSAO","Progressão","Progression","Progresión"
"CAT_HABILIDADE","Habilidade","Skill","Habilidad"
"CAT_EXPLORACAO","Exploração","Exploration","Exploración"
"CAT_PERSISTENCIA","Persistência","Persistence","Persistencia"
"CAT_TABULEIRO","Tabuleiro","Board","Tablero"
"CAT_CARTAS","Cartas","Cards","Cartas"
"CAT_COLECAO","Coleção","Collection","Colección"
"CAT_SEGREDOS","Segredos","Secrets","Secretos"
"CAT_SOCIAL","Social","Social","Social"
"CAT_GERAL","Geral","General","General"
"RECORD_MOVES","%d jogadas","%d moves","%d movimientos"
"RECORD_PEGS","%d esferas","%d pegs","%d piezas"
"NUDGE_LEVEL","Faltam %d XP para o nível %d","%d XP to level %d","Faltan %d XP para el nivel %d"
"NUDGE_LEAGUE","Faltam %d pontos para a liga %s","%d points to %s league","Faltan %d puntos para la liga %s"
"NUDGE_ACHIEVEMENT","Faltam %d para ""%s""","%d to go for ""%s""","Faltan %d para ""%s"""
"NUDGE_QUEST","Faltam %d para ""%s""","%d to go for ""%s""","Faltan %d para ""%s"""
"TOAST_DAILY_BONUS","Bônus diário: +%d XP","Daily bonus: +%d XP","Bono diario: +%d XP"
"TOAST_DAILY_BONUS_DESC","Sequência de %d dia(s). Volte amanhã.","%d day streak. Come back tomorrow.","Racha de %d día(s). Vuelve mañana."
"TOAST_QUEST","Missão concluída!","Quest complete!","¡Misión completada!"
"TOAST_MASTERY","Maestria %d em %s","Mastery %d in %s","Maestría %d en %s"
"TOAST_LEAGUE_UP","Promovido para %s!","Promoted to %s!","¡Ascendido a %s!"
"TOAST_LEAGUE_DOWN","Rebaixado para %s","Demoted to %s","Descendido a %s"
"TOAST_ITEM","Item desbloqueado","Item unlocked","Objeto desbloqueado"
"TOAST_STREAK_FREEZE","Congelamento usado","Streak freeze used","Congelación usada"
"TOAST_STREAK_FREEZE_DESC","Sua sequência de %d dias continua viva.","Your %d day streak survives.","Tu racha de %d días sigue viva."
"PGS_SIGNED_IN","Conectado como %s","Signed in as %s","Conectado como %s"
"PGS_OFFLINE","Progresso salvo neste aparelho","Progress saved on this device","Progreso guardado en este dispositivo"
"PGS_ACHIEVEMENTS","Conquistas do Play Games","Play Games achievements","Logros de Play Games"
"PGS_LEADERBOARDS","Placares","Leaderboards","Clasificaciones"
"PGS_SYNC_PENDING","%d envio(s) aguardando conexão","%d update(s) waiting for a connection","%d envío(s) esperando conexión"
"PROFILE_STREAK_ONE","1 dia seguido","1 day streak","1 día seguido"
"NUDGE_LEVEL_ONE","Falta 1 XP para o nível %d","1 XP to level %d","Falta 1 XP para el nivel %d"
"NUDGE_LEAGUE_ONE","Falta 1 ponto para a liga %s","1 point to %s league","Falta 1 punto para la liga %s"
"NUDGE_ACHIEVEMENT_ONE","Falta 1 para ""%s""","1 to go for ""%s""","Falta 1 para ""%s"""
"NUDGE_QUEST_ONE","Falta 1 para ""%s""","1 to go for ""%s""","Falta 1 para ""%s"""
"GENRE_STRATEGY","Estratégia","Strategy","Estrategia"
"GENRE_CLASSIC","Clássico","Classic","Clásico"
"GENRE_ANCESTRAL","Ancestral","Ancient","Ancestral"
"GENRE_RACE","Corrida","Race","Carrera"
"GENRE_EGYPT","Egito Antigo","Ancient Egypt","Antiguo Egipto"
"GENRE_PUZZLE","Quebra-cabeça","Puzzle","Rompecabezas"
"GENRE_LOGIC","Lógica","Logic","Lógica"
"GENRE_PATIENCE","Paciência","Patience","Solitario"
"GENRE_MEMORY","Memória","Memory","Memoria"
"GENRE_CASINO","Cassino","Casino","Casino"
"GENRE_SHEDDING","Mau-Mau","Crazy Eights","Ocho Loco"
"GENRE_VIDEO_POKER","Video Poker","Video Poker","Video Póker"
"TAG_MODE_SOLO","Solo","Solo","Solo"
"TAG_MODE_AI","vs IA","vs AI","vs IA"
"TAG_MODE_VERSUS","2 Jogadores","2 Players","2 Jugadores"
"BTN_FILTERS","Filtros","Filters","Filtros"
"FILTER_MODE","Modo","Mode","Modo"
"FILTER_PROGRESS","Progresso","Progress","Progreso"
"FILTER_ALL","Todos","All","Todos"
"FILTER_SOLO","Solo","Solo","Solo"
"FILTER_AI","Contra a IA","Vs AI","Contra la IA"
"FILTER_VERSUS","2 Jogadores","2 Players","2 Jugadores"
"FILTER_PLAYED","Já joguei","Played","Ya jugué"
"FILTER_UNPLAYED","Nunca joguei","Not played","Nunca jugué"
"FILTER_CLEAR","Limpar filtros","Clear filters","Limpiar filtros"
"FILTER_EMPTY","Nenhum jogo com este filtro","No game matches this filter","Ningún juego con este filtro"
"FILTER_COUNT","%d jogos","%d games","%d juegos"
"FILTER_COUNT_ONE","1 jogo","1 game","1 juego"
"FILTER_CLOSE","Pronto","Done","Listo"
"MENU_TODAY_QUESTS","Desafios de hoje","Today's challenges","Desafíos de hoy"
"MENU_QUESTS_SUMMARY","%d de %d · +%d XP","%d of %d · +%d XP","%d de %d · +%d XP"
"MENU_QUESTS_ALL_DONE","Tudo feito por hoje","All done for today","Todo hecho por hoy"
"MENU_NEW_FOR_YOU","Novos para você","New for you","Nuevos para ti"
"MENU_UNPLAYED_SUMMARY","%d de %d ainda não jogados","%d of %d not played yet","%d de %d aún no jugados"
"MENU_CAT_BOARD","Tabuleiro","Board","Tablero"
"MENU_CAT_CARDS","Cartas","Cards","Cartas"
"GAME_DESC_CONNECT_FOUR","Alinhe quatro fichas antes do adversário.","Line up four discs before your opponent does.","Alinea cuatro fichas antes que tu rival."
"GAME_DESC_TIC_TAC_TOE","Três em linha no tabuleiro de nove casas.","Three in a row on a nine-square grid.","Tres en raya en el tablero de nueve casillas."
"GAME_DESC_CHECKERS","Coma as peças do adversário e corone as suas.","Capture your opponent's pieces and crown your own.","Come las piezas del rival y corona las tuyas."
